u,v,w
2.274990978462884e-06,1.863534235897654e-05,6.54509818662179e-06
1.4234812255185432e-07,1.551485708245593e-05,1.136064610131587e-05
-1.8861426598240895e-06,1.0978014477551565e-05,1.4819703043016681e-05
-3.6003590567814637e-06,5.519164430790309e-06,1.6621575238376273e-05
-4.833784882559381e-06,-3.059471348687923e-07,1.6627051214115904e-05
-5.474138919831523e-06,-5.923205108719657e-06,1.4859142106386396e-05
-5.469101863067792e-06,-1.0783494778859265e-05,1.1497288365362852e-05
-4.8272714464086005e-06,-1.4405210008695228e-05,6.8629223468695356e-06
-3.6145522382394857e-06,-1.6412840396214466e-05,1.3962611199346477e-06
-1.946926559661262e-06,-1.656930705528933e-05,-4.373764133975662e-06
1.863903039907005e-08,-1.480213173987582e-05,-9.864459861295437e-06
-2.0887568971939335e-07,-1.4993447464167834e-05,-9.863667347479396e-06
1.8883516847269852e-06,-1.1416200113413637e-05,-1.458781623471501e-05
3.917822408738235e-06,-6.294184980682477e-06,-1.7881172202465632e-05
5.6510531209635484e-06,-1.504161969344789e-07,-1.9264820888324598e-05
6.863339691189255e-06,6.290023225482565e-06,-1.8469455778141186e-05
7.375300839809499e-06,1.2197322824064095e-05,-1.5537801716034808e-05
7.1006397611771315e-06,1.680072909581413e-05,-1.0854368194696831e-05
6.073888631357922e-06,1.9550386578806812e-05,-5.064441112389717e-06
4.441048015816627e-06,2.0199375332671048e-05,1.0793752592748833e-06
2.4213102045514093e-06,1.8788565139743383e-05,6.861781342583672e-06
2.6215642930817613e-07,1.557807476923651e-05,1.1690353773643811e-05
-1.7962781473735435e-06,1.0975220923106692e-05,1.512660757695402e-05
-3.5444269594669942e-06,5.4793505246395515e-06,1.6890627910456665e-05
-4.817514255773712e-06,-3.6004035706444646e-07,1.685938709987656e-05
-5.504197843649356e-06,-5.98107646106913e-06,1.5064018020408232e-05
-5.55100149082027e-06,-1.0847807054501426e-05,1.1683452142272629e-05
-4.9626191569910414e-06,-1.4488346683399428e-05,7.031251185001837e-06
-3.7981992467266974e-06,-1.6529824577457893e-05,1.5351558192707042e-06
-2.164625873024535e-06,-1.6728104071083728e-05,-4.288546792683807e-06
-2.0887568971939864e-07,-1.499344746416784e-05,-9.863667347479388e-06
-2.690508640272593e-07,-1.5096073881583081e-05,-9.635063910389672e-06
1.900301693766559e-06,-1.1580725662009409e-05,-1.4357160909617543e-05
3.975540968556412e-06,-6.534351651262549e-06,-1.7656219182992775e-05
5.705042509195102e-06,-4.7198442189308694e-07,-1.9081383613343347e-05
6.8671939585542005e-06,5.904899790344642e-06,-1.8382542986460087e-05
7.314132220677538e-06,1.1798348843213835e-05,-1.5593581048756935e-05
7.001910796181684e-06,1.6459163203774357e-05,-1.1057792260938876e-05
5.991858755587041e-06,1.9332068241396614e-05,-5.366333161918347e-06
4.426287541859543e-06,2.0138042939089803e-05,7.649617098335506e-07
2.4957461556762935e-06,1.8876228214730815e-05,6.622556835153187e-06
4.116825585471169e-07,1.5774653984953104e-05,1.1585491687164868e-05
-1.612998457420369e-06,1.1227316926541462e-05,1.5174282824390007e-05
-3.3791281654029645e-06,5.737011122887106e-06,1.7072576421988125e-05
-4.715194907108667e-06,-1.3378553536016117e-07,1.7134668121725156e-05
-5.490315732029716e-06,-5.8076731100723395e-06,1.538453811691168e-05
-5.625047493483497e-06,-1.0735166686122265e-05,1.2006960440451233e-05
-5.098726636587517e-06,-1.4435105093958804e-05,7.330082596916125e-06
-3.95269784660969e-06,-1.6530555493505086e-05,1.8000729412253164e-06
-2.289583353728495e-06,-1.6778766947645333e-05,-4.050021987393229e-06
-2.6905086402726154e-07,-1.509607388158311e-05,-9.635063910389684e-06
-4.061016279812644e-07,-1.5018279690008718e-05,-9.766505444184122e-06
1.7527544422463228e-06,-1.1454866827697097e-05,-1.4464311983832873e-05
3.828333500339201e-06,-6.391049396191065e-06,-1.771358116344108e-05
5.576355264156263e-06,-3.5034090973165956e-07,-1.9086354941331223e-05
6.781945557705948e-06,5.97739945025038e-06,-1.8356664521043445e-05
7.2970515114827715e-06,1.1822083042591017e-05,-1.5568437013162746e-05
7.066993585866583e-06,1.6461492443216776e-05,-1.105371582810296e-05
6.135079564302507e-06,1.9349068879727175e-05,-5.379886932717317e-06
4.626370997781064e-06,2.0193130227186397e-05,7.564140659192868e-07
2.7216076573016658e-06,1.8969910299612352e-05,6.645403461168363e-06
6.314898440589654e-07,1.5888063905698517e-05,1.1655419064711492e-05
