u,v,w
-7.48009071331323e-06,1.0522765578796603e-05,-1.403699578824228e-05
9.410568170349911e-07,1.4080795767139543e-05,-1.9025445765829263e-05
1.2268763412651945e-05,1.5993933439033294e-05,-2.2714837713038098e-05
2.712848608512836e-05,1.5785999005346457e-05,-2.4934100982358765e-05
4.6933297422780116e-05,1.2708103155642048e-05,-2.535190910989227e-05
7.443164917463343e-05,5.81370349388318e-06,-2.3378996859646664e-05
0.00011393616001272158,-4.631417640030959e-06,-1.815777509632234e-05
0.00016470540957064944,-1.1025276786870732e-05,-9.147085179960081e-06
0.0001927968874688905,1.6779872099431093e-07,2.6609837283859585e-06
0.00016288466271443787,7.90734321737631e-06,1.578091493268925e-05
0.00011469434319464119,-1.8649551685653262e-06,2.6900177110033236e-05
7.457752564766265e-05,-1.3704794159774305e-05,3.319140470838356e-05
4.338978514584938e-05,-2.0566738525395104e-05,3.43488628857576e-05
1.9416632569036958e-05,-2.192218909433288e-05,3.106941367850917e-05
2.0615179321441666e-06,-1.900224660516412e-05,2.4569946502475393e-05
-9.048900534696752e-06,-1.3479960279363687e-05,1.6331843520548295e-05
-1.4648913668723203e-05,-6.881723263394397e-06,7.669987436046258e-06
-1.5709999891621423e-05,-2.9151764234058414e-07,-5.409439935896232e-07
-1.3118087615840871e-05,5.637808924339999e-06,-7.843620710445412e-06
-1.3115697074212838e-05,7.060144140295661e-06,-6.499441142432106e-06
-7.496189153319642e-06,1.3262464450300759e-05,-1.1387703434184387e-05
9.03362314999041e-07,1.8281801362969503e-05,-1.4929128754272124e-05
1.2198903354236727e-05,2.2011936892082127e-05,-1.6821966020124615e-05
2.7000201719171022e-05,2.4272422849079154e-05,-1.6606663776518566e-05
4.668224892874412e-05,2.4730126573123875e-05,-1.3549843212215178e-05
7.389615677737671e-05,2.2823858901262756e-05,-6.697447692942619e-06
0.000112745469727605,1.7827298589428028e-05,3.832042537418465e-06
0.00016245695954125912,9.550774744050154e-06,1.1047621229870081e-05
0.00019047541258441076,-9.124875504861301e-07,1.921377800181125e-06
0.00016217002644706839,-1.3304914118090434e-05,-4.616295184815245e-06
0.0001149517588623163,-2.4792417029676192e-05,4.4927692384885025e-06
7.49747070025239e-05,-3.1812664656461555e-05,1.532082529463099e-05
4.3706130585710036e-05,-3.364986658591097e-05,2.136852142073445e-05
1.963421939871486e-05,-3.091185697461675e-05,2.211856904390313e-05
2.201440485627516e-06,-2.4810274339505e-05,1.8762329135115603e-05
-8.963430518758205e-06,-1.6840827664360524e-05,1.294343764768512e-05
-1.4600491893589866e-05,-8.34195815681988e-06,6.16091941463797e-06
-1.5687545062423718e-05,-2.1465703841448712e-07,-5.291593318287321e-07
-1.3115697074212857e-05,7.060144140295669e-06,-6.4994411424321125e-06
-1.5524514252676645e-05,-5.494538607186446e-06,2.3749206607905294e-06
-1.502319492255045e-05,3.425512968408876e-06,-2.4383678769964277e-06
-1.115042118521058e-05,1.1185847239907589e-05,-6.6387319763179825e-06
-4.378064172702678e-06,1.743131365137693e-05,-1.0214607489122246e-05
5.180134051916443e-06,2.186870903490123e-05,-1.3191681279697273e-05
1.783068302672665e-05,2.411412627332352e-05,-1.5597614023903256e-05
3.447342758655724e-05,2.3549949236119796e-05,-1.7436054916083644e-05
5.699252576129095e-05,1.921472716091723e-05,-1.863278965985064e-05
8.88709729464341e-05,1.0125388263600446e-05,-1.881456643940461e-05
0.00013416324399274273,-1.919098918611567e-06,-1.636536441959968e-05
0.00018223690817836756,-5.146406558331512e-06,-6.750368599938047e-06
0.00018535017221116761,3.3362933786846195e-06,9.639644453311054e-06
0.00014219259550712557,-2.827296963787292e-06,2.068297744073618e-05
9.690155566066967e-05,-1.7948977118980222e-05,2.4644730442053414e-05
6.093294972431909e-05,-2.895346869249778e-05,2.4774717580402867e-05
3.290422922445392e-05,-3.288670511672065e-05,2.245974785127843e-05
1.1678178518122386e-05,-3.056146625664882e-05,1.8368819573485867e-05
-3.087013895268149e-06,-2.3886079812111345e-05,1.3203788496440548e-05
-1.1868316502377189e-05,-1.4963009924160293e-05,7.689305941255013e-06
-1.552451425267666e-05,-5.49453860718646e-06,2.3749206607905383e-06
-1.5498480098596085e-05,-5.916388308607702e-06,1.2597791382403176e-06
-1.502032981487181e-05,3.7859380497031444e-06,-1.6887713940341816e-06
-1.1166746558084871e-05,1.2259520384067417e-05,-4.1870603880452705e-06
-4.413984067146141e-06,1.9238289007754497e-05,-6.01251365142632e-06
5.118824396374393e-06,2.4528738266774736e-05,-6.955742695512274e-06
1.7728536351798367e-05,2.7877351028780107e-05,-6.739140261896884e-06
3.429327745389289e-05,2.885362121601943e-05,-4.933813549086269e-06
5.664181812800104e-05,2.6742883844834515e-05,-9.080757321371502e-07
8.811455921253146e-05,2.0637852822506668e-05,5.858106138145918e-06
0.00013255052370898733,1.0735049531258567e-05,1.3413177330238266e-05
0.0001801005958563002,1.9665008542942746e-06,1.1139038051702918e-05
0.00018485343506583258,-3.5262301399848918e-06,-4.725010119492842e-06
0.00014284641647108206,-1.5702078780999885e-05,-9.072278872318369e-06
9.755262521655503e-05,-2.9426317617056153e-05,-2.5388279597025952e-06
6.138288893794583e-05,-3.7596049514104084e-05,4.116976379919535e-06
3.319395752934494e-05,-3.900508225877668e-05,7.773055971126497e-06
1.1857782583100362e-05,-3.4675095988328765e-05,8.457807153210969e-06
-2.980660592983503e-06,-2.6447389356432203e-05,6.9930475941088084e-06
-1.1810065659273041e-05,-1.6326747230534456e-05,4.330964201348361e-06
-1.549848009859611e-05,-5.9163883086077116e-06,1.25977913824032e-06
-1.0610055440299006e-05,-1.8788330460018403e-05,1.640992195214179e-06
-1.515664645474938e-05,-7.984338233586479e-06,3.1427432250318636e-07
-1.5370239428689125e-05,2.289280542649203e-06,-7.35829194869663e-07
-1.2084391125000892e-05,1.1344306266851229e-05,-1.6393239350661133e-06
-5.833862084994535e-06,1.8812862203338008e-05,-2.5191125330879785e-06
3.198272833535752e-06,2.44326033249869e-05,-3.5044037887436628e-06
1.5232811745618734e-05,2.7885312728784168e-05,-4.753959043075766e-06
3.1040577389467056e-05,2.865518182411203e-05,-6.485512744756665e-06
5.228631391468267e-05,2.589813791660418e-05,-8.981702876747505e-06
8.213142431669981e-05,1.854662781084027e-05,-1.2371599257103918e-05
0.00012491463146694406,6.987275686407347e-06,-1.5189641346616051e-05
0.000174945767920035,-1.15322038972566e-06,-1.0167803268659831e-05
0.00018887992897076623,4.943981737102362e-07,7.232949841368009e-06
0.00015059224137256683,-7.35050722721062e-06,1.734776590807084e-05
0.00010436856871608025,-2.3188865214332206e-05,1.6273330834307813e-05
6.691578683743762e-05,-3.480321680459169e-05,1.2344707535056001e-05
3.761770669056856e-05,-3.895876203069091e-05,8.65066160368154e-06
1.5184692862814455e-05,-3.634471740091362e-05,5.678235080520074e-06
-7.60389925399284e-07,-2.8874457478043998e-05,3.382912686155909e-06
-1.0610055440299014e-05,-1.878833046001841e-05,1.640992195214181e-06
-1.0546776350952592e-05,-1.8762907309655305e-05,-2.514226435360386e-06
-1.51285414534048e-05,-7.949487231238157e-06,-1.3039914424530928e-06
-1.5366774167095628e-05,2.3314593791265164e-06,-2.739585191940102e-07
-1.210057458229985e-05,1.1392073166674927e-05,6.821674797921573e-07
-5.869123807142631e-06,1.8865384239984885e-05,1.6691058490626408e-06
3.139660996925051e-06,2.449027551562469e-05,2.8038255704765043e-06
1.5138704470293247e-05,2.7950383324643466e-05,4.238578192606145e-06
3.0882172604405934e-05,2.8733359514056492e-05,6.192519625423879e-06
5.199421782027781e-05,2.6001441582124572e-05,8.970202862221833e-06
8.153434863949784e-05,1.8687432476886435e-05,1.2798083290808256e-05
0.00012368192803261115,7.069829985800827e-06,1.6576378451439947e-05
0.0001733747764678365,-1.7008097795324554e-06,1.3664341057851659e-05
0.00018911159384421902,-5.546872470867094e-07,-2.382527258310443e-06
0.0001518213931751482,-7.784458253114612e-06,-1.3866974787458533e-05
0.0001052703584450023,-2.3288586050071944e-05,-1.4287355252138622e-05
6.746493793816842e-05,-3.4825646135200634e-05,-1.1353045471786895e-05
3.7950807873195716e-05,-3.8963574670680664e-05,-8.371042056237744e-06
1.5385366212427187e-05,-3.634032958848817e-05,-5.9325554095838396e-06
-6.434887357372028e-07,-2.8859815947713108e-05,-4.017683551447868e-06
-1.0546776350952616e-05,-1.8762907309655332e-05,-2.5142264353603916e-06
-5.2791594219409175e-06,-2.42038120700238e-05,-7.212712520765977e-06
-1.294413407967552e-05,-1.3860771069551703e-05,-4.595823177119462e-06
-1.5684181846564842e-05,-3.5119491588843143e-06,-1.5899036175255068e-06
-1.4444286939806154e-05,5.964457458793872e-06,1.2968039490278355e-06
-9.951172886556447e-06,1.4122078326887607e-05,3.7448822588926894e-06
-2.605268041377596e-06,2.0725672769356164e-05,5.526041661589606e-06
7.560322692449583e-06,2.558032963905225e-05,6.414068063841517e-06
2.0958682317234144e-05,2.8403985042283688e-05,6.104210350735081e-06
3.86600251019812e-05,2.870877586251961e-05,4.135285128934577e-06
6.284421775296851e-05,2.5707627040540398e-05,-1.1056561151166804e-07
9.736735872889121e-05,1.8565901441249014e-05,-6.785899295031132e-06
0.00014522958431929857,8.432607636069758e-06,-1.2085822410038649e-05
0.00018754680217770149,1.5085873059753608e-06,-3.6809825701100233e-06
0.0001769835701989095,-4.987246365167023e-06,1.1727703745342733e-05
0.00013134067343990237,-1.895662749572798e-05,1.0948749852513887e-05
8.8455246392298e-05,-3.190325457280629e-05,2.5340056242321983e-06
5.454004533032727e-05,-3.8524792688906416e-05,-4.430212092210678e-06
2.80606393466495e-05,-3.848187342829978e-05,-8.051661671664692e-06
8.209717360947964e-06,-3.306362436229565e-05,-8.68083344273643e-06
